Word,Definition,Context
longevity,,"Taxes matter, longevity matters, spending matters, and drawdowns matter. "
drawdowns,,"Taxes matter, longevity matters, spending matters, and drawdowns matter. "
annuities,,"s, primarily by taking the benefits sooner than they should.2 There's also good evidence that many people spend too much on certain kinds of insurance, from protection on their kitchen appliances to comprehensive car insurance, while spending too little on other types of insurance products, such as annuities. "
They,,easy‐to‐read survey of the 50 most popular ones by Yale Professor James Choi.3 The decision‐making problems we focus on have three common features: They require a decision to be made in the face of uncertain outcomes. 
utility function,,"Philosophers, economists, and mathematicians have been thinking about how to systematically evaluate these kinds of decisions for almost 300 years, since Daniel Bernoulli introduced the concept of a “utility function” in order to provisionally solve the St. "
bankroll,,"It's always an even‐money bet, meaning if you bet $1 and win, your bankroll increases by $1, and if you lose, it decreases by $1. "
Athenaeum,,1 The news that Harry Perkins was to become Prime Minister went down very badly in the Athenaeum. 
carnation,,"A tweed sports jacket, a silk tie, and on this occasion a red carnation in his buttonhole. "
apoplectic,,Sir Arthur Furnival was apoplectic. 
brogue,,"The Belfast brogue of Sir Harry Boyd, who twenty years earlier had been the last Unionist Prime Minister of Northern Ireland, broke the gloomy silence around a television set which was delivering a computer prediction of a Labour majority of at least 100 seats. "
crawling,,Within days the establishment would be crawling with extremists. 
humdrum,,Leads a fairly humdrum sort of life.” 
scourge,,For a while he became the scourge of the Tory front bench at question time and on occasion did not hesitate to tear a strip off the Labour front bench as well. 
trawling,,"“They’re just trawling for a left-winger to make the régime look respectable,” he told his friends. "
plaintive,,"As far as I can recall, there was nothing particularly plaintive about it, nor was it an angry rant. "
renegade,,Given everything that took place while I was writing this book—poker cheating scandals; Elon Musk’s transformation from rocket-launching renegade into X edgelord; the spectacular self-induced implosion of Sam Bankman-Fried—you’d think the River had a rough few years. 
stroboscopic,,"Who knows what this urge is all about, to appear somewhere outside yourself, instead of feeling stuck inside your muddled but stroboscopic mind, peering out like a little undersea animal—a spiny blenny, for instance—from inside your tiny cave? "
Lousy,,"My father wrote an article for a magazine, called ""A Lousy Place to Raise Kids,"" and it was about Marin County and specifically the community where we lived, which is as beautiful a place as one can imagine. "
oddballs,,"I was drawn to oddballs, ethnic people, theater people, poets, radicals, gays and lesbians—and somehow they all helped me become some of those things I wanted so desperately to become: political, intellectual, artistic. "
tartare,,"But if the person could narrow it down to, say, Indian, I might remember one lavish Indian palace, where my date had asked the waiter for the Rudyard Kipling, sampler and later for the holy-cow tartare. "
punitive,,"Neither of my parents is much into cards or casinos, but my paternal grandmother, Gladys Silver, was an outstanding gin rummy and bridge player and a notoriously punitive one: if you weren’t careful about concealing your cards, she’d take full advantage of that information as a way of teaching you to be more careful next time. "
piqued,,There was one silver lining: the UIGEA piqued my interest in politics. 
stochastic,,"Gamblers, traders, and model builders see the world as complicated, stochastic, and contingent. "
hackneyed,,"Or euphemistically, to fully commit to an action—but some Riverians consider this metaphor hackneyed. "
gratuitous,,"When unnecessary and excessive damage is inflicted by one of the sides in warfare, a question arises as to the legitimacy of the victory that side may claim, even whether it has been a war at all and not simply gratuitous unwarranted violence. "
Scrupulous,,"Scrupulous in his religious observances, an enthusiastic hunter, a moderate drinker, sporting an auburn beard (earning him the nickname of “Barbarossa,” or “Red-Beard”), Frederick would rule Germany for nearly fifty years; and he would struggle with Henry the Lion for at least half of that time.3 He began his reign with a letter to Pope Eugenius III, announcing his"
auburn,,"Scrupulous in his religious observances, an enthusiastic hunter, a moderate drinker, sporting an auburn beard (earning him the nickname of “Barbarossa,” or “Red-Beard”), Frederick would rule Germany for nearly fifty years; and he would struggle with Henry the Lion for at least half of that time.3 He began his reign with a letter to Pope Eugenius III, announcing his election and spelling out exactly how authority in his kingdom was going to be divided. "
paid,,"Alexander III fled into Western Francia and excommunicated the antipope Victor IV, who paid no attention.7 Meanwhile, Henry the Lion was ruling the north and east of Germany in practical independence: a kingdom within the empire. "
Exchequer,,"My father, the son of a petty tradesman and (I believe) small farmer, at Northwater Bridge, in the county of Angus, was, when a boy, recommended by his abilities to the notice of Sir John Stuart, of Fettercairn, one of the Barons of the Exchequer in Scotland, and was, in consequence, sent to the University of Edinburgh at the expense of a fund established by Lady Jane Stuart (the wife of Sir John Stuart) and some other ladies for educating young men for the Scottish Church. "
barbarous,,"Without society, we would be storm-tossed on the barbarous sea that is nature. "
propitiation,,"Religion rose from rituals of propitiation, spells to lull the punishing elements. "
inflexions,,"Of grammar, until some years later, I learnt no more than the inflexions of the nouns and verbs, but, after a course of vocables, proceeded at once to translation; and I faintly remember going through Æsop’s Fables, the first Greek book which I read. "
Anabasis,,"The Anabasis,* which I remember better, was the second. "
Bougainville,,"Two books which I never wearied of reading were Anson’s Voyage, so delightful to most young persons, and a Collection (Hawkesworth’s, I believe) of Voyages round the World, in four volumes, beginning with Drake and ending with Cook and Bougainville. "
Bucolics,,"From my eighth to my twelfth year the Latin books which I remember reading were, the Bucolics of Virgil, and the first six books of the Æneid; all Horace except the Epodes; the fables of Phædrus; the first five books of Livy (to which from my love of the subject I voluntarily added, in my hours of leisure, the remainder of the first decad); all Sallust; a considerable part of Ovid’s Metamorphoses; some plays of Terence; two or three books of Lucretius; several of the Orations of Cicero, and of his writings on oratory; also his letters to Atticus, my father taking the trouble"
synoptic,,"* part of the Anthology;* a little of Dionysius; several books of Polybius; and lastly, Aristotle’s Rhetoric, which, as the first expressly scientific treatise on any moral or psychological subject which I had read, and containing many of the best observations of the ancients on human nature and life, my father made me study with peculiar care, and throw the matter of it into synoptic tables. "
predilection,,"History continued to be my strongest predilection, and most of all ancient history. "
verses,,"The verses I wrote were of course the merest rubbish, nor did I ever attain any facility of versification, but the practice may have been useful in making it easier for me, at a later period, to acquire readiness of expression.1 I had read, up to this"
idolatry,,"My father never was a great admirer of Shakespeare, the English idolatry of whom he used to attack with some severity. "
recalcitrant,,"I never remember being so wrapt up in any book, as I was in Joyce’s Scientific Dialogues; and I was rather recalcitrant to my father’s criticisms of the bad reasoning respecting the first principles of physics which abounds in the early part of that work. "
Organon,,"This commenced with Logic, in which I began at once with the Organon, and read it to the Analytics inclusive, but profited little by the Posterior Analytics,* which belong to a branch of speculation I was not yet ripe for. "
impugned,,"It was his invariable practice, whatever studies he exacted from me, to make me as far as possible understand and feel the utility of them: and this he deemed peculiarly fitting in the case of the syllogistic logic, the usefulness of which had been impugned by so many writers of authority. "
urbane,,"1 CALLICLES: Yes, and a very urbane one it was! "
cognate,,"nstrained either to express his meaning to himself in definite terms, or to confess that he does not know what he is talking about; the perpetual testing of all general statements by particular instances; the siege in form which is laid to the meaning of large abstract terms, by fixing upon some still larger classname which includes that and more, and dividing down to the thing sought—marking out its limits and definition by a series of accurately drawn distinctions between it and each of the cognate objects which are successively parted off from it—all this, as an education for precise thinking, is inestimable, and all this, even at that age, took such hold of me that it became part of my own mind. "
didactic,,"Though Ricardo’s great work was already in print, no didactic treatise embodying its doctrines, in a manner fit for learners, had yet appeared. "
shews,,"The result of the experiment shews the ease with which this may be done, and places in a strong light the wretched waste of so many precious years as are spent in acquiring the modicum of Latin and Greek commonly taught to schoolboys; a waste, which has led so many educational reformers to entertain the ill-judged proposal of discarding these languages altogether from general education. "
lest,,"Though no holidays were allowed, lest the habit of work should be broken, and a taste for idleness acquired, I had ample leisure in every day to amuse myself; but as I had no boy companions, and the animal need of physical activity was satisfied by walking, my amusements, which were mostly solitary, were in general of a quiet, if not a bookish turn, and gave little stimulus to any other kind even of mental activity t"
Nineveh,,"At Nineveh, at Pompeii, at Troy, vaults were opened; past civilizations appeared, frozen in stone, but lifelike. "
harrowed,,"Travelers riding in steam-driven railroad trains looked out their windows onto a landscape where oxen plowed the fields as they had done in medieval times, horses still hauled and harrowed, yet telegraph wires split the sky. "
medieval,,"Travelers riding in steam-driven railroad trains looked out their windows onto a landscape where oxen plowed the fields as they had done in medieval times, horses still hauled and harrowed, yet telegraph wires split the sky. "
lurid,,Have we spent the last century developing a lurid pipe dream? 
rococo,,"To me it looks like a rococo sort of sledge, with a plush red chair. "
sledge,,"To me it looks like a rococo sort of sledge, with a plush red chair. "
languid,,"The movie also features the Time Traveller’s erstwhile companion, Weena, played by Yvette Mimieux as a languid peroxide blonde of the year 802701. "
barge,,"A convoy of red buses passed over Lambeth Bridge and below, on the river, a barge passed on its way to Hammersmith. "
secondment,,"David Booth, a young high-flyer on secondment from the Treasury to the nuclear division of the Public Sector Department saw the girl put the envelope in her handbag. "
trestle,,"They could come true only in the version of home where the broke-backed trestle over the stream at the village’s end became ‘a bridge of white hazelwood with oaken planks, spread with purple cloths and nailed with copper nails’. "
millstones,,"Everyone was going to climb the cabbage stalk, scramble through the hole in the sky, and arrive in the land where millstones revolved all by themselves. "
jostling,,"Without thinking about it, Leonid Vitalevich lent his increment of shove to the jostling crowd, and was lifted with the rest of the collectivity over the rear step and into the cram of human flesh behind the concertina door. "
raucous,,"I sat in public elementary school next to the scions of midwestern royalty: the descendants of the Armours and the Swifts, who built the meatpacking industry that Upton Sinclair exposed, along with the daughters of media and banking barons, whose lakefront mansions resembled the settings of Tom and Daisy Buchanan’s raucous parties. "
swashbuckling,,"While systems often seem boring and impersonal, offshore finance is the stuff of swashbuckling thrillers and tabloid gossip rags, with a cast of characters that includes celebrities and modern-day buccaneers. "
buccaneers,,"While systems often seem boring and impersonal, offshore finance is the stuff of swashbuckling thrillers and tabloid gossip rags, with a cast of characters that includes celebrities and modern-day buccaneers. "
impunity,,"Secrecy confers impunity: freedom from accountability, both to social norms and to the law. "
Humboldt,,The former president of Chile was recently exposed for using offshore finance not only to conceal the bribes he received and evade his own country’s taxes but to hide one other source of his personal wealth: the profit he made from an illegal mining operation that threatens 80 percent of the world’s Humboldt penguin population. 
simulacra,,The philosopher Jean Baudrillard referred to this category as technologies of the “hyper-real”: simulacra that lack a referent and become substitutes for reality. 
nihilistic,,"Culturally, the trend of decelerating technological progress and the slowdown in economic growth is reflected in the rise of dystopian sci-fi, which feeds a nihilistic sentiment of existential malaise and civilizational doom. "
malaise,,"Culturally, the trend of decelerating technological progress and the slowdown in economic growth is reflected in the rise of dystopian sci-fi, which feeds a nihilistic sentiment of existential malaise and civilizational doom. "
nigh,,"Whether caused by malevolent artificial intelligence, climate change, or some other self-imposed disaster, the cultural consensus seems to be that humanity’s end is nigh. "
inductive,,"In this book, we take an inductive approach to the problem. "
shibboleth,,of the shibboleth of “innovation” hasn’t magically translated into actual human progress. 
self-aggrandizing,,"Against the self-aggrandizing claims of “innovation”—often simply employed to sell a slightly improved beauty care formula, the latest software-as-a-service product, or any startup pitched as “X for Y”—we need to reclaim the meaning of innovation as a truly singular inflection point, a development that reorders the present and impacts the trajectory of the future. "
exigency,,"We’ve written this book to develop, in a sense of exigency, a deeper understanding of the dynamics that govern technological innovation. "
Stasis,,Chapter 1 The Ideology of Stasis What happened to the future? 
paean,,"Even 2015’s The Martian, a paean to human ingenuity, spends a fair amount of time on NASA’s bureaucracy and internal politics. "
gooseberry,,"Danny and Nobby would bring their girl-friends along, but Perkins always played gooseberry. "
ingots,,Two steel ingots being loaded by crane on to a lorry fell on him when a cable snapped. 
daft,,"“Don’t be daft,” he tried to reassure her, but he knew she was right. "
digs,,"Once Anne came to stay in his digs at Oxford, but the landlady soon put a stop to that. "
corduroys,,Perkins had opened the door to her in his shirt sleeves and a pair of worn brown corduroys. 
mantelpiece,,"The fireplace had been bricked off, but the mantelpiece remained. "
Who's Who,,"Before she went to bed with Harry Perkins, Molly first looked him up in Who’s Who to see if he was married. "
wicker,,"Since Perkins didn’t have time to shop, she would bring the food with her in a wicker basket. "
trite,,"Inside information, however trite, gave her a small thrill. "
feigning,,"They would argue for perhaps five minutes before Perkins gave up, feigning disgust. "
wanton,,Pennsylvania law would have deemed Tompkins a trespasser and required that he show Erie had acted toward him with “wanton negligence” in order to hold it liable. 
plaintiff,,The eggshell (thin skull) plaintiff: A defendant can be liable for a plaintiff’s unforeseeable and uncommon reactions. 
redressable,,The injury must be redressable through the court. 
alpine,,"So it should be as respects valleys, alpine meadows, rivers, lakes, estuaries, beaches, ridges, groves of trees, swampland, or even air that feels the destructive pressures of modern technology and modern life…. "
Eyewitness,,"Government Give War a Chance Eyewitness Accounts of Mankind’s Struggle Against Tyranny, Injustice, and Alcohol-Free Beer All the Trouble in the World The Lighter Side of Overpopulation, Famine, Ecological Disaster, Ethnic Hatred, Plague, and Pove"
If,,"If work was a good thing the rich would have it all and not let you do it. —Elmore Leonard, Split Images"
Cover,,Acknowledgments Back Cover
incumbent,,"Or I did until the kids got older and I became the father of three adolescents and began to feel that it was incumbent upon me to give them some fatherly advice about how to claw their way up corporate ladders, succeed beyond their wildest dreams, and amass enormous fortunes (with which to take care of me in a luxurious fashion in my old age). "
brahmanic,,"In excuse, I quote that most brahmanic of the Boston Brahmins, Oliver Wendell Holmes, Sr.: “He must be a poor creature who does not often repeat himself. "
prosaic,,My advice is more prosaic: “Know Economics.” 
wisenheimer,,"I started out, at the beginning of the 1970s, as a cub wisenheimer at the National Lampoon, making fun of everything. "
imbroglio,,"No matter what armed imbroglio, conflict, crisis, or catastrophe I was writing about, everybody was in it for something. "
Corniche,,"In 1975 and 1976 the center of Beirut—”The Paris of the Middle East,” with its cafés, nightclubs, luxury hotels, and beachfront Corniche—was reduced to rubble. "
runaway,,"True, the war led to runaway inflation, as wars do. "
cloys,,"Love lasts, lust cloys. "
propriety,,Lust subverts propriety. 
pillories,,"So the task I set myself is to clean off some of the mud, to rescue it from the echoing denunciations of old men of the deserts, to deliver it from the pallid and envious confessors of Rome and the disgust of the Renaissance, to destroy the stocks and pillories of the Puritans, to separate it from other things that we know drag it down (for we shall find that there are worse things than lust, things that make pure lust itself impure), and so to lift it from the category of sin to that of virtue. "
sodomy,,"When I gave the lecture, some 12 states had sodomy laws that applied to both heterosexual and homosexual couplesAlabama, Arizona, Florida, Idaho, Louisiana, Michigan, Massachusetts, Minnesota, North Carolina, South Carolina, Utah, and Virginia. "
furtive,,"This in spite of the fact that abstinence-only programs markedly increase young peoples' health risks by making sporadic, furtive, and unprotected copu lations their only option. "
propriety,,"English passions include property and propriety, both enemies of lust. "
incubus,,"But although we have the word for these nocturnal temptations, the incubus (and, even-handedly, one for the corresponding female visitor to men, the succubus), this charge was seldom made in English witchcraft trials. "
succubus,,"But although we have the word for these nocturnal temptations, the incubus (and, even-handedly, one for the corresponding female visitor to men, the succubus), this charge was seldom made in English witchcraft trials. "
ruefully,,"Yet even that is not quite enough: imagine someone anticipating such pleasures, but somewhat ruefully. "
priori,,"So we might get an a priori, armchair certainty that one kind of treatment (say, drugs and electric shocks) has to be ""right"" and others (such as treating patients humanely, counselling, analysis) are ""wrong"": unscientific, unsound, bound to fail. "
a priori,,"So we might get an a priori, armchair certainty that one kind of treatment (say, drugs and electric shocks) has to be ""right"" and others (such as treating patients humanely, counselling, analysis) are ""wrong"": unscientific, unsound, bound to fail. "
Subjection,,Subjection enters the house with the plough Attributed to the Prophet Mohammed
plough,,Subjection enters the house with the plough Attributed to the Prophet Mohammed
backcloth,,But any attempt at understanding of our collective or individual predicaments must needs be spelt out against the backcloth of a vision of human history. 
inexorable,,"ing those who set themselves up as self-appointed prophets, in possession of a secret plan of history and hence of the key to the future, who endeavour to browbeat humanity into the acceptance of their own values and recipes for the future, and who do this in the name of a possibly benign and allegedly inexorable historical necessity. "
scant,,"some backcloth vision of history, and of the low esteem in which elaboration of global historical patterns is at present held, is a most paradoxical situation: the ideas of nineteenth-century philosophers of history such as Hegel, M a r x , Comte, or Spencer are treated with scant respect and yet are everywhere in use. "
presuppose,,"They do so because some at least of the later developments in human history seem to presuppose the earlier ones, and could not have preceded them. "
perpetuate,,"But the precise extent to which concepts help perpetuate a society, and the extent to which on the other hand its perpetuation depends   1•4"
engender,,"We understand a social order when we see it as one possible corollary of the basic factors which engender it, but also when we see how other options could have been engendered by that same set of elements. "
clerisy,,"Two specialisms in par- ticular become of paramount importance: the emergence of a specialized ruling class, and of a specialized clerisy (specialists in cognition, legitimation, salvation, ritual). "
prescriptive,,"Ancestors, or past institutional forms, perhaps in idealized versions, are held up as the moral norm, the prescriptive ideal. "
Lancashire,,"The notion of industrial society (sometimes, for brevity, Industria), is here used in a broad and generic sense, going far beyond nineteenth- century Lancashire and the dark satanic mills. "
humdrum,,"An equally valid specimen of legitimation is something as humdrum as a cinema usherette, who leads the ticket holder to his appointed place, and without whom audiences would be inconvenienced by chaos. "
underwritten,,"Legitimators are underwritten by a given power situation; but equally, the balance of power depends on the nature and size and position of groupings, which in turn are built up by the humble daily activities of the ushers and usherettes of each society, who lead men to their places. "
recapitulation,,"If one realizes, for instance, that the “supervenience” theory of mental activity is essentially a recapitulation of the paradox it addresses, mistaken for a kind of clarification, then there is no need to lay out at length every individual iteration of its futility. "
intelligible,,"And all of this required a certain period of time because I wasn’t merely storing information in my mind in a disordered aggregate, but instead was arranging my reflections in a particular intelligible order according to a grammar of logical continuities, reasoning upon my actions, employing concepts that I had to communicate to myself by way of signs—words, that is, indicating ideas in relation to one another—the whole process guided by my longing to understand as much as I could. "
considering,,"For, in taking my time, I was considering a course of action prospectively, weighing one desire and one rationale against another until I arrived at a decision. "
prospectively,,"For, in taking my time, I was considering a course of action prospectively, weighing one desire and one rationale against another until I arrived at a decision. "
raconteuse,,"HEPHAISTOS: Again, my dear Psyche, as enchanting a raconteuse as you usually are, I can’t pretend to find any of this nearly as absorbing as you evidently do. "
trifling,,"[Slowly sitting up upon his bench:] Assuming that you’re not trifling with us, I can say only that your conclusions are rather, ah . . . extravagant, given the evidence you’ve offered. "
hyperbolic,,"We start by seeing Descartes trying to motivate his method of extreme doubt (also known as Cartesian doubt, or as he himself calls it, ""hyperbolic"", that is, excessive or exaggerated doubt). "
Cogito,,"For even if I can climb out of the seas of doubt onto the Cogito, I cannot climb out onto the nature of your mind. "
frivolous,,"Others may be more frivolous, but whatever you may think of one objective or another, we rarely question the value of framing all our pursuits with objectives. "
teeming,,"If you’re experienced in landscape painting, it means that you’ve visited the part of the room teeming with images of landscapes. "
ragtime,,Jazz musicians weren’t trying to influence the birth of rock any more than ragtime composers consciously tried to shape jazz. 
blasé,,"I’m almost twenty years older than Fabrice, and I took less willingly than he did to having to jump through hoops for twerps with three-day beards who could have been my sons, and who pulled blasé faces at everything we wrote. "
vicarious,,"A god who begets children with a mortal woman; a sage who bids men work no more, have no more courts, but look for the signs of the impending end of the world; a justice that accepts the innocent as a vicarious sacrifice; someone who orders his disciples to drink his blood; prayers for miraculous interventions; sins perpetrated against a god, atoned for by a god; fear of a beyond to which death is the portal; the form of the cross as a symbol in a time that no longer knows the function and the ignominy of the cross—how ghoulishly all this touches us, as if from the tomb of a primeval past! "
communal,,"Quite apart from any questions of faith, I believed that the goal of communal life was to discover yourself in discovering your partner, and to encourage your partner to do the same. "
yoke,,"Suddenly I grasped that it is up to us to choose between life and death, that life is Christ and that his yoke is light. "
neurotic,,"Both of us were afraid of life, and we were both terribly neurotic. "
austere,,"She lived in a beautiful apartment on Rue Vaneau in the building formerly occupied by André Gide, and something about her evoked the kind of studious, almost austere, aura that you associate with the Nouvelle Revue Française—for which Gide wrote—between the wars. "
lithe,,"At a time when it was less common than it is today, she was well versed in Oriental wisdom and practiced yoga—thanks to which, until an advanced age, she was lithe as a cat. "
Communion,,"As a child I went to Sunday school and took my first Communion, but this Christian education was so formal, so routine, that it wouldn’t make sense to say that I lost my faith at any given moment. "
edifying,,This edifying tale so frightened him that he prayed each night that he be spared from receiving God’s grace and becoming a priest. 
claptrap,,"The only things he really cares about in life are of a—again I trip over this terrible word, with everything it entails in the form of pious inanity and otherworldly claptrap, but there you go—“spiritual” nature. "
torpor,,"I emerged from this depressive torpor only to brood over my misery, once again torn between the clear fact that Anne and I were unhappy together and the conviction that I had made my choice and that for me success depended on how well I could stick to it. "
Dare,,Dare to knock.” 
injunction,,"Peter swears he does, and Jesus asks him to feed his sheep—an injunction that leaves me somewhat cold because I’m not a shepherd by vocation. "
bigotry,,"Unlike me, she grew up in a family that was Catholic to the point of bigotry. "
scruples,,"She inherited the whole package of religious neuroses: an abhorrence of sex, agonizing scruples, overarching sadness. "
jibes,,"Between the word of God and my understanding, it’s the word of God that counts, and it would be silly of me to retain only what jibes with my limited understanding. "
sacraments,,You must know the sacraments.” 
Eucharist,,"*   *   * Leaving the living room where we were sitting, she goes into her study to get a book on the Eucharist. "
lest,,"For example…” She opens the book and reads: Do not hide your face from me, lest I become like those descending to the pit. "
interminably,,The days in my studio stretched on interminably. 
groggy,,"Long, groggy spans punctuated by masturbation. "
vocative,,"This book, which foreshadowed Montaigne and Rousseau—and the first in which someone struggles to come to terms with who he has been, what has made him himself and no one else—is entirely written in the vocative. "
Sulpician,,"Left to myself I would have been more inclined to read Teresa of Ávila, whom I see as the height of mystical chic, while Thérèse of Lisieux reminds me of my parents-in-law’s stodgy piousness, and everything covered by the adjective “Sulpician.” "
Are,,Are you denying your own existence now? 
sophists,,"When sophists do that, I usually take them at their word and stop arguing with them. "
interleaves,,"For instance, the movie Sliding Doors interleaves two variants of a love story, following the fortunes of two instances of the same couple in two universes which initially differ only in one small detail. "
hull,,So there must be a separate floor and walls as well as an entire spaceship hull in the phantom zone. 
receptacle,,This is to stress that a universe is not a receptacle containing physical objects: it is those objects. 
dwindle,,"ABOUT THE BOOK   In a near-future France, François, a middle-aged academic, is watching his life slowly dwindle to nothing. "
Proteus,,"So it goes, in the remaining Western social democracies, when you finish your studies, but most students don’t notice right away because they’re hypnotised by the desire for money or, if they’re more primitive, the desire for consumer goods (though these cases of acute product-addiction are unusual: the mature, thoughtful majority develop a fascination with that ‘tireless Proteus’, money itself). "
rue,,"Born in the rue Suger, having lived in the rue de Sèvres and the rue Monsieur, Huysmans died in the rue Saint-Placide and was buried in Montparnasse. "
plaintive,,"He lets the reader stay one step ahead of him, inviting us to laugh at him, and his overly plaintive, awful or ludicrous descriptions, even before he laughs at himself. "
I'd,,"Nights were spent at one person’s place or the other’s (in fact, I’d usually stay at theirs, since the grim, not to say insalubrious, atmosphere at mine hardly lent itself to romantic interludes); sexual acts took place (to what I like to think was our mutual satisfaction). "
insalubrious,,"Nights were spent at one person’s place or the other’s (in fact, I’d usually stay at theirs, since the grim, not to say insalubrious, atmosphere at mine hardly lent itself to romantic interludes); sexual acts took place (to what I like to think was our mutual satisfaction). "
vagabondage,,"The way things were supposed to work (and I have no reason to think much has changed), young people, after a brief period of sexual vagabondage in their very early teens, were expected to settle down in exclusive, strictly monogamous relationships involving activities (outings, weekends, holidays) that were not only sexual, but social. "
like,,"Relationships of variable duration (a year being, according to my own observations, an acceptable amount of time) and of variable number (an average of ten to twenty might be considered a reasonable estimate) were supposed to succeed one another until they ended, like an apotheosis, with the last relationship, this one conjugal and final, which would lead, via the begetting of children, to the formation of a family. "
conjugal,,"Relationships of variable duration (a year being, according to my own observations, an acceptable amount of time) and of variable number (an average of ten to twenty might be considered a reasonable estimate) were supposed to succeed one another until they ended, like an apotheosis, with the last relationship, this one conjugal and final, which would lead, via the begetting of children, to the formation of a family. "
tactless,,"For reasons I didn’t entirely understand, it suddenly seemed tactless, almost unthinkable, to talk about the old days. "
wringer,,"From the sour and bitter way she talked about her male colleagues (in the end we’d been reduced to discussing her professional life: she was head of communications for an association of Bordeaux winemakers, so she travelled a lot to promote French wines, mostly in Asia) it was painfully clear that she had been through the wringer. "
entrenched,,"At the dawn of the twentieth century, classical mechanics was firmly entrenched. "
inextricably,,"And I believe that we can achieve the greatest understanding if we consider them not singly but jointly, for they are inextricably related. "
holism,,"(This view is itself meaningless according to its own criterion.) reductive A reductive explanation is one that works by analysing things into lower-level components. reductionism The view that scientific explanations are inherently reductive. holism The idea that the only legitimate explanations are in terms of higher-level systems; the opposite of reductionism. emergence An emergent phenomenon is one (such as life, thought or computation) about which there are comprehensible facts or explanations that are not simply deducible from lower-level theories, but which may be explicable or predictable by higher-level theories referring directly to that phenomenon."
us,,"We remained unknown to American intellectuals (who, bewitched by Communist propaganda, saw us merely as villainous generals, oil magnates, and gaunt ladies with lorgnettes). "
gaunt,,"We remained unknown to American intellectuals (who, bewitched by Communist propaganda, saw us merely as villainous generals, oil magnates, and gaunt ladies with lorgnettes). "
lorgnettes,,"We remained unknown to American intellectuals (who, bewitched by Communist propaganda, saw us merely as villainous generals, oil magnates, and gaunt ladies with lorgnettes). "
provincialism,,The old intellectuals are now dying out and have not found successors in the so-called Displaced Persons of the last two decades who have carried abroad the provincialism and Philistinism of their Soviet homeland. 
Philistinism,,The old intellectuals are now dying out and have not found successors in the so-called Displaced Persons of the last two decades who have carried abroad the provincialism and Philistinism of their Soviet homeland. 
phantasm,,"The world of The Gift being at present as much of a phantasm as most of my other worlds, I can speak of this book with a certain degree of detachment. "
ductile,,It turns out that light is not as ductile as gold! 
frays,,"And as it spreads, it 'frays'. "
thatched,,"Wooden houses and thatched roofs predominated, which left no tile and mortar fragments, while early medieval pottery is not only much scarcer than its Roman equivalent, but is also generally a dull brown or grey in colour, and therefore difficult to spot in the plough soil. "
plough,,"Wooden houses and thatched roofs predominated, which left no tile and mortar fragments, while early medieval pottery is not only much scarcer than its Roman equivalent, but is also generally a dull brown or grey in colour, and therefore difficult to spot in the plough soil. "
Abyssinia,,"All those who accompanied him on caravan trips, whether to Egypt or Syria, to Yemen or Abyssinia, knew that he could read symbols but not words. "
forfeited,,Was his pursuit of the truth forfeited by a single moment of self-deceit? 
Touchstone,,"It beckoned Muhammad to ascend to the Source of all Truth and Life, the Touchstone of Peace and Justice: By the star when it sets, Your companion neither worries nor frets Nor does he ever speak with regrets. "
steed,,(53:1–9) Muhammad was first transported on a winged steed to the rock where Abraham nearly sacrificed his son Ishmael in the ancient city of Jerusalem. 
Lote,,Abraham greeted Muhammad warmly before sending him on to the Lote Tree of the Limit (53:14). 
reprieve,,"Finally Muhammad was granted a divine reprieve: from that day till the Day of Resurrection, incumbent on him and all his followers was the daily recital of five prayers, a mere five times of prayerful remembrance to punctuate each day with thoughts and desires directed solely to the Lofty One. "
hankers,,Does man get whatever he hankers for? 
jib,,"http://collegebookshelf.net5 Then, as they were just passing the Round Tower, the young man shouted: ""Stand by there to lower the topsails and jib; brail up the spanker!"" "
obsequious,,"He was a man of twenty-five or twentysix years of age, of unprepossessing countenance, obsequious to his superiors, insolent to his subordinates; and this, in addition to his position as responsible agent on board, which is always obnoxious to the sailors, made him as much disliked by the crew as Edmond Dantes was beloved by them. "
insolent,,"He was a man of twenty-five or twentysix years of age, of unprepossessing countenance, obsequious to his superiors, insolent to his subordinates; and this, in addition to his position as responsible agent on board, which is always obnoxious to the sailors, made him as much disliked by the crew as Edmond Dantes was beloved by them. "
labia,,"The thrum of desire had indeed grown so loud inside me—its electric network toured a constant circuit between my temples, breasts, and thighs—that a moment when lust might be able to operate my labia as a ventriloquist’s dummy and speak aloud seemed inevitable. "
ventriloquist,,"The thrum of desire had indeed grown so loud inside me—its electric network toured a constant circuit between my temples, breasts, and thighs—that a moment when lust might be able to operate my labia as a ventriloquist’s dummy and speak aloud seemed inevitable. "
Technicolor,,"Whether or not it’s the cause, I blame my very first time at fourteen years old in Evan Keller’s basement for imprinting me with a fixed map of arousal—my memory of the event still flows through my mind in animated Technicolor. "
hymen,,"Afterward I’d gone to the bathroom and then called him in; with an expression of melancholy curiosity, as though transfixed at an aquarium, he’d watched the ruins of my hymen drifting in the blue toilet bowl water like it was the last remaining survivor of a once-plentiful species. "
fervent,,"At university I began throwing myself into classics studies, finding brief solace from my sexual frustrations in texts depicting ancient battles of fervent bloodshed. "
waltz,,"Perhaps I’d even get to waltz with one or two of the more outgoing male students under the guise of fun and frivolity—the boys who would confidently grab my hand and lead me to the center of the floor, not realizing until our bodies were pressed that they could smell the pulsing, fragrant wetness just one layer of fabric away beneath my dress. "
